states: t,states: v,states: x
99.0,-6.892373,-74.02937
100.0,-7.0752325,-77.47556
1.0,-0.2422213,-179.76442
2.0,0.112442344,-179.88553
3.0,1.0546939,-179.8293
4.0,1.6205901,-179.30196
5.0,2.0341156,-178.49167
6.0,2.7260597,-177.47461
7.0,3.461727,-176.11157
8.0,3.88203,-174.3807
9.0,4.5257273,-172.4397
10.0,5.396732,-170.17683
11.0,5.704789,-167.47847
12.0,5.787487,-164.62607
13.0,6.5132217,-161.73233
14.0,6.9243298,-158.47572
15.0,6.9160666,-155.01357
16.0,7.208906,-151.55553
17.0,7.570562,-147.95108
18.0,8.135745,-144.1658
19.0,8.77602,-140.09793
20.0,9.479259,-135.70992
21.0,9.612819,-130.97029
22.0,9.920956,-126.16388
23.0,10.797481,-121.2034
24.0,11.090216,-115.80466
25.0,11.116716,-110.25955
26.0,11.290123,-104.701195
27.0,11.347289,-99.05614
28.0,11.283981,-93.38249
29.0,11.732381,-87.7405
30.0,11.781818,-81.87431
31.0,12.046129,-75.983406
32.0,12.375824,-69.96034
33.0,12.605966,-63.77243
34.0,12.234246,-57.469448
35.0,11.9593115,-51.352325
36.0,11.776484,-45.37267
37.0,11.825998,-39.48443
38.0,11.355877,-33.57143
39.0,11.353382,-27.893492
40.0,10.892389,-22.2168
41.0,11.171819,-16.770607
42.0,10.879092,-11.184698
43.0,10.358245,-5.745152
44.0,9.766146,-0.56602955
45.0,9.314761,4.3170433
46.0,8.995557,8.974424
47.0,8.281458,13.472202
48.0,7.963218,17.61293
49.0,7.5507493,21.59454
50.0,7.153706,25.369915
51.0,6.615545,28.946768
52.0,6.2165666,32.25454
53.0,5.5959105,35.362823
54.0,5.2722797,38.160778
55.0,4.9784284,40.796917
56.0,4.971365,43.286133
57.0,4.397187,45.771816
58.0,3.963416,47.97041
59.0,3.6497738,49.952118
60.0,3.6622853,51.777004
61.0,3.6860673,53.608147
62.0,3.478365,55.45118
63.0,2.9054978,57.19036
64.0,2.5674276,58.64311
65.0,2.058479,59.926823
66.0,1.5356318,60.956062
67.0,1.4798262,61.723877
68.0,0.93958396,62.46379
69.0,0.42095786,62.933582
70.0,0.18530193,63.144062
71.0,-0.21997842,63.236713
72.0,-0.20156175,63.126724
73.0,-0.5953351,63.025944
74.0,-1.0405755,62.728275
75.0,-0.86149997,62.20799
76.0,-1.1220496,61.777237
77.0,-1.8331695,61.216213
78.0,-2.140597,60.29963
79.0,-2.3318756,59.229332
80.0,-2.5104568,58.063393
81.0,-2.8758984,56.808163
82.0,-2.9994855,55.370213
83.0,-3.4826796,53.87047
84.0,-3.6933098,52.129128
85.0,-3.8582675,50.28247
86.0,-3.9900203,48.353336
87.0,-4.0200825,46.358326
88.0,-3.707003,44.348286
89.0,-4.236391,42.494785
90.0,-4.448313,40.37659
91.0,-4.384045,38.152435
92.0,-4.3692217,35.96041
93.0,-4.5592856,33.7758
94.0,-4.4779286,31.496157
95.0,-4.3711057,29.257193
96.0,-4.3684397,27.07164
97.0,-4.785978,24.88742
