action: u,states: t,states: v,states: x
0.0532384,31.0,0.264706,18.2682
-0.120512,32.0,0.126326,18.4006
-0.0222042,33.0,0.0409511,18.4637
-0.0686458,34.0,0.15481,18.4842
0.00905609,35.0,0.293204,18.5616
-0.00191253,36.0,0.204979,18.7082
0.0973343,37.0,-0.112368,18.8107
-0.0328104,38.0,0.0351446,18.7545
-0.0337765,39.0,-0.122658,18.7721
0.135852,40.0,-0.147843,18.7107
-0.00951076,41.0,0.178588,18.6368
-0.136288,42.0,0.407175,18.7261
0.00292456,43.0,0.262183,18.9297
0.0620556,44.0,0.180703,19.0608
0.0651066,45.0,0.0944953,19.1511
0.0424936,46.0,0.527876,19.1984
-0.042649,47.0,0.451195,19.4623
0.0014888,48.0,0.213057,19.6879
0.0637161,49.0,0.206608,19.7945
-0.0855746,50.0,0.0747484,19.8978
-0.0276815,51.0,-0.0174824,19.9351
0.162754,52.0,-0.433854,19.9264
0.0177765,53.0,-0.773026,19.7095
0.0728694,54.0,-0.724911,19.323
-0.0307445,55.0,-0.659546,18.9605
0.138412,56.0,-1.10401,18.6307
0.0338092,57.0,-0.768272,18.0787
0.217429,58.0,-1.12743,17.6946
0.0873597,59.0,-0.852541,17.1309
0.0234962,60.0,-0.650504,16.7046
0.123205,61.0,-0.421993,16.3794
-0.0358549,62.0,0.0894749,16.1684
-0.0284288,63.0,0.33036,16.2131
0.111388,64.0,0.180314,16.3783
0.0379344,65.0,0.290884,16.4684
-0.0126596,66.0,0.390972,16.6139
-0.0382156,67.0,0.476262,16.8094
-0.0605136,68.0,0.382438,17.0475
-0.0612483,69.0,0.585474,17.2387
-0.107583,70.0,0.56484,17.5314
0.00803781,71.0,0.0627148,17.8139
0.106278,72.0,0.158551,17.8452
-0.132265,73.0,0.337296,17.9245
0.125676,74.0,0.0760306,18.0931
0.016062,75.0,-0.142446,18.1312
0.0755479,76.0,0.350488,18.0599
-0.163942,77.0,0.80295,18.2352
-0.116482,78.0,0.978714,18.6367
-0.160411,79.0,0.942208,19.126
-0.220886,80.0,0.645393,19.5971
0.00538671,81.0,0.744286,19.9198
-0.0349841,82.0,0.527661,20.292
-0.152157,83.0,0.519121,20.5558
-0.0996823,84.0,0.479517,20.8153
-0.195844,85.0,0.676085,21.0551
-0.221462,86.0,0.674206,21.3931
-0.371072,87.0,1.02141,21.7302
-0.0579676,88.0,0.74306,22.241
-0.4391,89.0,1.20558,22.6125
-0.502467,90.0,0.688561,23.2153
-0.361219,91.0,0.780298,23.5596
-0.366585,92.0,0.718627,23.9497
-0.453695,93.0,0.556339,24.309
-0.29171,94.0,0.193526,24.5872
-0.329778,95.0,-0.0118677,24.6839
-0.510961,96.0,-0.432287,24.678
-0.403322,97.0,-0.799923,24.4619
-0.000739276,98.0,-0.517954,24.0619
-0.00580144,99.0,-0.358885,23.8029
0.10199,0.0,-0.236184,-33.8822
0.193629,1.0,-0.412525,-34.0003
0.131063,2.0,-0.212972,-34.2066
0.0429393,3.0,0.025481,-34.313
0.127766,4.0,0.0421299,-34.3003
0.0896442,5.0,0.0560178,-34.2792
0.00466061,6.0,0.416425,-34.2512
0.145045,7.0,0.347015,-34.043
0.0135469,8.0,0.650098,-33.8695
0.199414,9.0,0.206626,-33.5445
0.0989717,10.0,0.473995,-33.4411
-0.00168574,11.0,0.703562,-33.2041
0.121057,12.0,1.10455,-32.8524
0.0529813,13.0,0.898885,-32.3001
0.2014,14.0,0.885828,-31.8506
0.0154669,15.0,0.908205,-31.4077
0.0217729,16.0,0.890767,-30.9536
0.00255728,17.0,1.31093,-30.5082
0.210071,18.0,1.02144,-29.8528
0.0390036,19.0,1.01579,-29.3421
0.0952816,20.0,1.19361,-28.8342
0.0603464,21.0,1.24513,-28.2374
0.0457667,22.0,1.28178,-27.6148
0.0566587,23.0,1.53118,-26.9739
0.0510746,24.0,1.83724,-26.2083
0.0743918,25.0,1.8869,-25.2897
0.0314467,26.0,2.00828,-24.3463
0.115693,27.0,2.18033,-23.3421
0.0279483,28.0,2.25305,-22.2519
-0.0825784,29.0,2.26742,-21.1254
-0.0567708,30.0,2.0822,-19.9917
0.0905881,31.0,2.03959,-18.9506
0.0891091,32.0,2.31418,-17.9308
-0.0398822,33.0,2.17456,-16.7737
-0.108447,34.0,2.22594,-15.6864
0.000193477,35.0,2.31124,-14.5735
-0.168337,36.0,2.28461,-13.4179
-0.150739,37.0,2.11268,-12.2756
0.00245452,38.0,2.14399,-11.2192
0.0101138,39.0,2.09998,-10.1472
-0.0987232,40.0,2.07238,-9.09723
-0.0675236,41.0,1.91499,-8.06104
0.0288345,42.0,2.02357,-7.10355
0.0796384,43.0,1.72261,-6.09177
0.0211272,44.0,1.6854,-5.23046
0.0106848,45.0,1.77052,-4.38776
-0.0653754,46.0,1.69938,-3.5025
-0.0344391,47.0,1.73623,-2.65281
-0.000120878,48.0,1.63904,-1.7847
0.0519155,49.0,1.58482,-0.965173
0.0404444,50.0,1.53416,-0.172761
-0.0284909,51.0,1.30418,0.594318
-0.00134146,52.0,1.34243,1.24641
-0.0182889,53.0,1.18661,1.91762
-0.0171494,54.0,1.18792,2.51093
-0.0412539,55.0,0.753053,3.10489
0.0402431,56.0,0.750818,3.48142
-0.0852832,57.0,0.841049,3.85683
0.0780399,58.0,0.860115,4.27735
0.065961,59.0,0.57513,4.70741
0.111973,60.0,0.560209,4.99497
0.0597858,61.0,0.579816,5.27508
-0.0560526,62.0,0.659929,5.56499
0.084555,63.0,0.70939,5.89495
0.016482,64.0,1.15694,6.24964
-0.0335997,65.0,1.42386,6.82811
-0.0893624,66.0,1.75459,7.54005
-0.183849,67.0,1.93271,8.41734
-0.199067,68.0,1.83963,9.38369
-0.0792212,69.0,1.6698,10.3035
-0.14577,70.0,1.75659,11.1384
-0.267006,71.0,1.70201,12.0167
-0.141959,72.0,1.39672,12.8677
0.0334579,73.0,1.49331,13.5661
-0.204828,74.0,1.56253,14.3127
-0.176642,75.0,1.52698,15.094
