states: t,states: v,states: x
88.0,0.74306,22.241
89.0,1.20558,22.6125
90.0,0.688561,23.2153
91.0,0.780298,23.5596
92.0,0.718627,23.9497
93.0,0.556339,24.309
94.0,0.193526,24.5872
95.0,-0.0118677,24.6839
96.0,-0.432287,24.678
97.0,-0.799923,24.4619
98.0,-0.517954,24.0619
99.0,-0.358885,23.8029
100.0,-0.194229,23.6235
1.0,-0.412525,-34.0003
2.0,-0.212972,-34.2066
3.0,0.025481,-34.313
4.0,0.0421299,-34.3003
5.0,0.0560178,-34.2792
6.0,0.416425,-34.2512
7.0,0.347015,-34.043
8.0,0.650098,-33.8695
9.0,0.206626,-33.5445
10.0,0.473995,-33.4411
11.0,0.703562,-33.2041
12.0,1.10455,-32.8524
13.0,0.898885,-32.3001
14.0,0.885828,-31.8506
15.0,0.908205,-31.4077
16.0,0.890767,-30.9536
17.0,1.31093,-30.5082
18.0,1.02144,-29.8528
19.0,1.01579,-29.3421
20.0,1.19361,-28.8342
21.0,1.24513,-28.2374
22.0,1.28178,-27.6148
23.0,1.53118,-26.9739
24.0,1.83724,-26.2083
25.0,1.8869,-25.2897
26.0,2.00828,-24.3463
27.0,2.18033,-23.3421
28.0,2.25305,-22.2519
29.0,2.26742,-21.1254
30.0,2.0822,-19.9917
31.0,2.03959,-18.9506
32.0,2.31418,-17.9308
33.0,2.17456,-16.7737
34.0,2.22594,-15.6864
35.0,2.31124,-14.5735
36.0,2.28461,-13.4179
37.0,2.11268,-12.2756
38.0,2.14399,-11.2192
39.0,2.09998,-10.1472
40.0,2.07238,-9.09723
41.0,1.91499,-8.06104
42.0,2.02357,-7.10355
43.0,1.72261,-6.09177
44.0,1.6854,-5.23046
45.0,1.77052,-4.38776
46.0,1.69938,-3.5025
47.0,1.73623,-2.65281
48.0,1.63904,-1.7847
49.0,1.58482,-0.965173
50.0,1.53416,-0.172761
51.0,1.30418,0.594318
52.0,1.34243,1.24641
53.0,1.18661,1.91762
54.0,1.18792,2.51093
55.0,0.753053,3.10489
56.0,0.750818,3.48142
57.0,0.841049,3.85683
58.0,0.860115,4.27735
59.0,0.57513,4.70741
60.0,0.560209,4.99497
61.0,0.579816,5.27508
62.0,0.659929,5.56499
63.0,0.70939,5.89495
64.0,1.15694,6.24964
65.0,1.42386,6.82811
66.0,1.75459,7.54005
67.0,1.93271,8.41734
68.0,1.83963,9.38369
69.0,1.6698,10.3035
70.0,1.75659,11.1384
71.0,1.70201,12.0167
72.0,1.39672,12.8677
73.0,1.49331,13.5661
74.0,1.56253,14.3127
75.0,1.52698,15.094
76.0,1.44449,15.8575
77.0,1.61165,16.5797
78.0,1.68267,17.3855
79.0,1.55435,18.2269
80.0,1.28801,19.0041
81.0,1.34762,19.6481
82.0,1.31174,20.3219
83.0,1.13421,20.9777
84.0,1.36837,21.5448
85.0,1.31198,22.229
86.0,0.970546,22.885
87.0,0.551168,23.3703
88.0,0.615915,23.6459
89.0,0.731031,23.9538
90.0,0.433134,24.3194
91.0,0.0517977,24.5359
92.0,-0.604915,24.5618
93.0,-1.00853,24.2594
94.0,-1.4589,23.7551
95.0,-2.11189,23.0256
96.0,-2.466,21.9697
97.0,-2.30468,20.7367
98.0,-1.65081,19.5844
99.0,-1.68168,18.759
100.0,-1.70939,17.9181
1.0,1.76196,-92.7995
2.0,1.59359,-91.9185
3.0,2.07741,-91.1217
4.0,2.60933,-90.083
5.0,2.61378,-88.7783
6.0,2.35862,-87.4714
7.0,2.52913,-86.2921
8.0,2.52101,-85.0276
9.0,2.39956,-83.7671
10.0,2.46268,-82.5673
11.0,2.2193,-81.3359
12.0,2.22215,-80.2263
13.0,2.25132,-79.1152
14.0,2.6382,-77.9895
15.0,2.88226,-76.6704
16.0,3.26504,-75.2293
17.0,3.65366,-73.5968
18.0,3.66064,-71.77
19.0,3.46315,-69.9396
20.0,3.39016,-68.2081
21.0,3.90449,-66.513
22.0,3.75898,-64.5607
23.0,3.71865,-62.6813
24.0,3.78464,-60.8219
25.0,3.9589,-58.9296
26.0,4.19624,-56.9502
27.0,4.28471,-54.852
28.0,4.46827,-52.7097
29.0,4.6296,-50.4755
30.0,4.74226,-48.1608
31.0,4.97316,-45.7896
32.0,5.07252,-43.303
33.0,4.98965,-40.7668
34.0,4.68404,-38.272
35.0,4.51436,-35.9299
36.0,4.5474,-33.6728
37.0,4.65196,-31.3991
38.0,4.51602,-29.0731
39.0,4.54603,-26.8151
40.0,4.3114,-24.542
41.0,4.09106,-22.3863
42.0,4.02373,-20.3408
43.0,3.78199,-18.329
44.0,3.898,-16.438
45.0,3.96853,-14.489
46.0,3.64607,-12.5047
47.0,3.5793,-10.6817
48.0,3.37058,-8.89201
49.0,3.40529,-7.20672
50.0,3.35678,-5.50408
51.0,3.35654,-3.82569
52.0,3.68608,-2.14742
53.0,3.25693,-0.304378
54.0,2.81164,1.32409
55.0,2.5398,2.72991
56.0,2.45064,3.99981
57.0,2.194,5.22513
58.0,1.96688,6.32213
59.0,1.99561,7.30556
60.0,1.73248,8.30337
61.0,1.49811,9.16961
62.0,1.33215,9.91866
63.0,1.19998,10.5847
64.0,0.836395,11.1847
65.0,0.576099,11.6029
66.0,0.492577,11.891
67.0,0.415663,12.1373
68.0,0.031817,12.3451
69.0,-0.0514067,12.361
70.0,0.109141,12.3353
71.0,-0.0531714,12.3899
72.0,0.0448496,12.3633
73.0,0.178599,12.3857
74.0,0.312862,12.475
75.0,0.196535,12.6314
76.0,-0.00722387,12.7297
77.0,0.154637,12.7261
78.0,-0.18138,12.8034
79.0,0.00365219,12.7127
80.0,-0.000862472,12.7146
81.0,-0.0287794,12.7141
82.0,0.154588,12.6997
83.0,0.636165,12.777
84.0,0.484108,13.0951
85.0,0.179141,13.3372
86.0,0.256677,13.4267
87.0,0.288956,13.5551
88.0,0.102332,13.6995
89.0,-0.250865,13.7507
90.0,-0.612721,13.6253
91.0,-0.965459,13.3189
92.0,-1.02461,12.8362
93.0,-1.38518,12.3239
94.0,-1.26795,11.6313
95.0,-1.63353,10.9973
96.0,-1.96714,10.1806
97.0,-2.27336,9.19699
98.0,-2.07112,8.0603
99.0,-2.38214,7.02475
100.0,-2.54631,5.83368
1.0,-1.39812,3.59498
2.0,-1.97763,2.89592
3.0,-1.73547,1.9071
4.0,-1.33445,1.03937
5.0,-1.39915,0.372143
6.0,-1.04915,-0.327432
7.0,-0.97774,-0.852006
8.0,-1.48718,-1.34088
9.0,-1.2836,-2.08446
10.0,-1.64681,-2.72626
11.0,-1.76847,-3.54967
12.0,-1.55514,-4.4339
13.0,-1.47779,-5.21147
14.0,-1.1835,-5.95037
15.0,-1.21034,-6.54212
16.0,-1.16325,-7.14729
17.0,-0.750959,-7.72891
18.0,-1.01996,-8.10439
19.0,-1.09136,-8.61438
20.0,-0.844131,-9.16006
21.0,-0.587529,-9.58212
22.0,-0.345477,-9.87589
23.0,-0.357483,-10.0486
24.0,-0.212474,-10.2274
25.0,-0.369088,-10.3336
26.0,-0.377004,-10.5182
27.0,-0.101708,-10.7067
28.0,0.289491,-10.7575
29.0,0.268506,-10.6128
30.0,0.352558,-10.4785
31.0,0.663815,-10.3022
32.0,0.75788,-9.97032
33.0,0.687402,-9.59138
34.0,1.27348,-9.24768
35.0,1.56056,-8.61094
36.0,1.48645,-7.83066
37.0,1.86895,-7.08743
38.0,2.1718,-6.15296
39.0,2.09065,-5.06706
40.0,1.9258,-4.02173
41.0,1.79998,-3.05883
42.0,1.57034,-2.15884
43.0,1.69629,-1.37367
44.0,1.82643,-0.525528
45.0,2.25479,0.387686
46.0,1.89079,1.51508
47.0,1.95996,2.46048
48.0,1.72205,3.44046
49.0,1.51292,4.30148
50.0,1.68297,5.05794
51.0,1.50619,5.89942
52.0,1.46015,6.65252
53.0,1.58854,7.38259
54.0,2.09811,8.17686
55.0,2.07897,9.22592
56.0,2.15097,10.2654
57.0,2.3423,11.3409
58.0,2.18364,12.512
59.0,2.13694,13.6039
60.0,2.25258,14.6723
61.0,2.75056,15.7986
62.0,3.27596,17.1739
63.0,3.44533,18.8119
64.0,3.69828,20.5345
65.0,3.46966,22.3837
66.0,3.40822,24.1185
67.0,3.27637,25.8226
68.0,2.90603,27.4608
69.0,2.96034,28.9138
70.0,3.1609,30.394
71.0,3.30164,31.9744
72.0,3.28136,33.6253
73.0,3.32256,35.2659
74.0,2.93974,36.9272
75.0,2.64429,38.3971
76.0,2.33201,39.7192
77.0,2.63022,40.8852
78.0,2.71013,42.2004
79.0,2.00129,43.5554
80.0,2.01364,44.5561
81.0,1.56452,45.5629
82.0,1.64746,46.3451
83.0,1.70698,47.1689
84.0,1.79482,48.0224
85.0,1.65729,48.9198
86.0,1.74326,49.7484
87.0,1.08351,50.62
88.0,1.03353,51.1618
89.0,1.20032,51.6786
90.0,1.25688,52.2787
91.0,1.06634,52.9072
92.0,0.61875,53.4403
93.0,0.497005,53.7497
94.0,0.732057,53.9982
95.0,0.79648,54.3642
96.0,1.3017,54.7625
97.0,1.22218,55.4133
98.0,1.08199,56.0244
99.0,1.0299,56.5654
100.0,1.08702,57.0804
1.0,2.28686,56.2915
2.0,1.88353,57.4349
3.0,1.66656,58.3767
4.0,1.60673,59.21
5.0,1.29744,60.0134
6.0,1.19129,60.6621
