action: u,states: t,states: v,states: x
-0.264147,0.0,-0.335677,96.7678
-0.13136,1.0,-0.279548,96.6
-0.219103,2.0,-0.11129,96.4602
-0.321955,3.0,-0.396538,96.4045
-0.310355,4.0,-0.342085,96.2063
-0.0939003,5.0,-0.397846,96.0352
-0.247125,6.0,-0.48251,95.8363
-0.325944,7.0,-0.275883,95.5951
0.0228215,8.0,-0.538138,95.4571
-0.200231,9.0,-0.0505619,95.1881
-0.256251,10.0,-0.100384,95.1628
-0.307366,11.0,-0.393378,95.1126
-0.182005,12.0,-0.623103,94.9159
-0.178705,13.0,-0.738795,94.6043
-0.0808691,14.0,-0.850235,94.2349
-0.165094,15.0,-0.893966,93.8098
-0.290424,16.0,-1.22729,93.3628
-0.210843,17.0,-1.2734,92.7492
-0.204951,18.0,-1.29195,92.1125
-0.131601,19.0,-1.68887,91.4665
-0.194395,20.0,-1.99227,90.6221
-0.235442,21.0,-1.72031,89.626
-0.171866,22.0,-1.56617,88.7658
-0.200208,23.0,-1.6273,87.9827
-0.111218,24.0,-1.73405,87.1691
-0.195324,25.0,-1.43478,86.302
-0.177833,26.0,-1.80355,85.5846
-0.272957,27.0,-1.50006,84.6829
-0.217901,28.0,-1.76684,83.9328
-0.296535,29.0,-1.68981,83.0494
-0.190733,30.0,-1.65162,82.2045
-0.336402,31.0,-1.7822,81.3787
-0.241888,32.0,-2.27376,80.4876
-0.235658,33.0,-2.3176,79.3507
-0.0958908,34.0,-2.45686,78.1919
-0.124138,35.0,-2.55176,76.9635
-0.182847,36.0,-2.83282,75.6876
-0.0370402,37.0,-3.17722,74.2712
-0.198673,38.0,-2.95431,72.6826
-0.223092,39.0,-3.27945,71.2054
-0.129957,40.0,-3.2524,69.5657
-0.145795,41.0,-3.73877,67.9395
0.0356525,42.0,-4.39668,66.0701
0.049042,43.0,-4.21306,63.8718
0.0166192,44.0,-4.43151,61.7653
0.165564,45.0,-4.8894,59.5495
0.0439916,46.0,-4.5541,57.1048
0.228143,47.0,-4.80564,54.8278
0.13968,48.0,-4.83525,52.4249
0.202944,49.0,-4.64773,50.0073
0.173287,50.0,-4.67605,47.6834
0.302431,51.0,-4.69911,45.3454
0.129231,52.0,-4.51832,42.9959
0.204939,53.0,-4.88632,40.7367
0.307128,54.0,-4.4471,38.2935
0.181238,55.0,-4.32935,36.07
0.192111,56.0,-4.25742,33.9053
0.21303,57.0,-4.054,31.7766
0.340519,58.0,-4.27938,29.7496
0.268589,59.0,-4.45453,27.6099
0.192245,60.0,-4.37965,25.3827
0.244889,61.0,-4.07783,23.1928
0.137566,62.0,-4.06238,21.1539
0.350757,63.0,-4.26027,19.1227
0.156992,64.0,-3.93602,16.9926
0.32229,65.0,-4.29699,15.0246
0.33828,66.0,-4.25955,12.8761
0.284358,67.0,-4.14222,10.7463
0.459752,68.0,-3.89038,8.67521
0.334555,69.0,-3.71111,6.73002
0.40582,70.0,-3.32859,4.87447
0.503974,71.0,-2.95038,3.21017
0.2507,72.0,-2.8253,1.73498
0.321983,73.0,-2.37178,0.322333
0.387777,74.0,-2.0047,-0.863557
0.39418,75.0,-1.77332,-1.86591
0.381114,76.0,-1.56288,-2.75256
0.259274,77.0,-1.18114,-3.534
0.349613,78.0,-0.908559,-4.12457
0.352548,79.0,-0.811591,-4.57885
0.310823,80.0,-0.546946,-4.98465
0.0516317,81.0,0.0625953,-5.25812
0.30565,82.0,0.0761301,-5.22682
0.245713,83.0,0.109439,-5.18876
-0.00609261,84.0,0.112854,-5.13404
0.109983,85.0,0.30163,-5.07761
0.462236,86.0,0.392968,-4.9268
0.18605,87.0,0.583856,-4.73031
0.394399,88.0,0.584599,-4.43838
0.016706,89.0,1.07019,-4.14608
0.341048,90.0,0.754865,-3.61099
0.263173,91.0,1.26196,-3.23356
0.315865,92.0,1.5887,-2.60258
0.209005,93.0,1.47681,-1.80823
0.0788532,94.0,1.62385,-1.06982
-0.0885586,95.0,1.97168,-0.257897
-0.242802,96.0,1.9546,0.727945
-0.0805634,97.0,1.40145,1.70525
-0.000972748,98.0,1.43476,2.40597
-0.000454247,99.0,1.71297,3.12335
-0.027526,0.0,0.326003,-3.95702
0.104291,1.0,0.43161,-3.79402
-0.0100863,2.0,0.839147,-3.57822
-0.0945482,3.0,0.63642,-3.15864
0.0382503,4.0,0.371421,-2.84043
0.0699936,5.0,0.632995,-2.65472
0.0561643,6.0,0.721674,-2.33823
0.0807568,7.0,0.589863,-1.97739
-0.0957971,8.0,0.462064,-1.68246
-0.0203329,9.0,0.800218,-1.45142
-0.140767,10.0,0.718168,-1.05132
-0.0344108,11.0,0.382514,-0.692232
0.00559044,12.0,0.184401,-0.500975
0.0823351,13.0,-0.448084,-0.408774
0.0746133,14.0,-0.898933,-0.632816
0.167944,15.0,-0.775623,-1.08228
0.0838567,16.0,-0.652536,-1.47009
0.103814,17.0,-0.806508,-1.79636
0.181192,18.0,-0.64994,-2.19962
0.0378176,19.0,-0.414326,-2.52459
0.0147634,20.0,-0.56941,-2.73175
