action: u,states: t,states: v,states: x
-0.0639046,0.0,-0.844214,50.1857
-0.0255941,1.0,-0.860922,49.7636
-0.0150293,2.0,-1.01907,49.3332
0.0615628,3.0,-1.05384,48.8236
0.075881,4.0,-0.774674,48.2967
-0.0293291,5.0,-1.00438,47.9094
0.0714196,6.0,-1.01418,47.4072
-0.0548046,7.0,-0.568968,46.9001
-0.044257,8.0,-0.215104,46.6156
0.00970089,9.0,-0.0363474,46.508
0.0432087,10.0,-0.0294769,46.4899
-0.0825638,11.0,0.0928171,46.4751
-0.1756,12.0,0.152021,46.5215
0.000545382,13.0,0.172686,46.5976
0.0668921,14.0,-0.0650205,46.6839
-0.0586807,15.0,0.107174,46.6514
-0.175366,16.0,-0.217798,46.705
0.0811708,17.0,-0.591937,46.5961
-0.0769181,18.0,-0.240421,46.3001
-0.0197316,19.0,-0.519568,46.1799
-0.0824999,20.0,-0.587474,45.9201
-0.058944,21.0,-0.726592,45.6264
0.0191253,22.0,-0.940115,45.2631
0.111293,23.0,-0.713686,44.793
0.0737765,24.0,-0.63592,44.4362
0.00574386,25.0,-0.251515,44.1182
0.0643502,26.0,-0.596045,43.9925
0.0128609,27.0,-0.488991,43.6944
0.0342883,28.0,-0.270356,43.4499
-0.0906879,29.0,-0.106811,43.3148
0.0208105,30.0,-0.137496,43.2614
-0.0738569,31.0,-0.46761,43.1926
-0.194097,32.0,-0.198831,42.9588
-0.0683745,33.0,-0.225879,42.8594
-0.0932029,34.0,0.32764,42.7465
0.0013659,35.0,0.451015,42.9103
-0.112076,36.0,0.274377,43.1358
-0.233724,37.0,0.365631,43.273
-0.00978363,38.0,-0.0561947,43.4558
-0.141244,39.0,0.00209542,43.4277
-0.0714712,40.0,0.114752,43.4287
-0.0969523,41.0,-0.248277,43.4861
-0.0971487,42.0,-0.637928,43.362
0.0599513,43.0,-1.03863,43.043
-0.0608076,44.0,-1.01803,42.5237
-0.0144036,45.0,-0.815884,42.0147
0.0822656,46.0,-0.781055,41.6067
-0.20515,47.0,-0.217511,41.2162
-0.0819391,48.0,-0.573567,41.1074
0.0752186,49.0,-0.766665,40.8207
0.0609081,50.0,-1.04313,40.4373
0.0449721,51.0,-0.888236,39.9158
-0.0113035,52.0,-0.853511,39.4716
-0.125464,53.0,-0.941699,39.0449
-0.0393252,54.0,-0.749856,38.574
-0.114667,55.0,-0.840689,38.1991
-0.17594,56.0,-0.672474,37.7788
-0.0270973,57.0,-0.837019,37.4425
-0.0146024,58.0,-1.33281,37.024
0.0177432,59.0,-1.43227,36.3576
-0.0504805,60.0,-1.23811,35.6415
-0.0991197,61.0,-0.844122,35.0224
-0.145489,62.0,-0.90644,34.6004
-0.0562891,63.0,-0.969319,34.1471
0.0757784,64.0,-1.12137,33.6625
-0.0225799,65.0,-0.552299,33.1018
-0.0879104,66.0,-0.589829,32.8256
0.0302635,67.0,-0.30196,32.5307
-0.258257,68.0,0.0187684,32.3798
-0.183397,69.0,0.182775,32.3891
-0.259998,70.0,0.000240281,32.4805
-0.219399,71.0,-0.109805,32.4806
-0.150406,72.0,-0.381088,32.4257
-0.089397,73.0,-0.193334,32.2352
-0.307611,74.0,-0.203477,32.1385
-0.17719,75.0,-0.393483,32.0368
-0.0968052,76.0,-1.09881,31.8401
-0.116402,77.0,-1.23889,31.2907
-0.194654,78.0,-1.14947,30.6712
-0.112903,79.0,-1.18397,30.0965
-0.0355433,80.0,-1.23675,29.5045
-0.0217408,81.0,-1.26818,28.8861
-0.0904194,82.0,-1.21912,28.252
-0.0663806,83.0,-0.981092,27.6425
0.00224984,84.0,-1.52493,27.1519
0.0872961,85.0,-1.49051,26.3894
0.0893985,86.0,-1.71872,25.6442
0.0160993,87.0,-1.24161,24.7848
0.1297,88.0,-1.67098,24.164
0.182253,89.0,-1.41781,23.3285
0.370662,90.0,-1.99789,22.6196
0.4937,91.0,-1.54027,21.6207
0.0135509,92.0,-1.2754,20.8505
0.41192,93.0,-1.21376,20.2129
0.429997,94.0,-1.074,19.606
0.454803,95.0,-0.778408,19.069
0.416482,96.0,-0.452532,18.6798
0.544978,97.0,-0.288319,18.4535
0.00542879,98.0,-0.024515,18.3093
-0.00287873,99.0,-0.212095,18.2971
0.210229,0.0,0.423497,-61.0144
0.197254,1.0,0.342681,-60.8027
