states: t,states: v,states: x
1.0,-0.279548,96.6
2.0,-0.11129,96.4602
3.0,-0.396538,96.4045
4.0,-0.342085,96.2063
5.0,-0.397846,96.0352
6.0,-0.48251,95.8363
7.0,-0.275883,95.5951
8.0,-0.538138,95.4571
9.0,-0.0505619,95.1881
10.0,-0.100384,95.1628
11.0,-0.393378,95.1126
12.0,-0.623103,94.9159
13.0,-0.738795,94.6043
14.0,-0.850235,94.2349
15.0,-0.893966,93.8098
16.0,-1.22729,93.3628
17.0,-1.2734,92.7492
18.0,-1.29195,92.1125
19.0,-1.68887,91.4665
20.0,-1.99227,90.6221
21.0,-1.72031,89.626
22.0,-1.56617,88.7658
23.0,-1.6273,87.9827
24.0,-1.73405,87.1691
25.0,-1.43478,86.302
26.0,-1.80355,85.5846
27.0,-1.50006,84.6829
28.0,-1.76684,83.9328
29.0,-1.68981,83.0494
30.0,-1.65162,82.2045
31.0,-1.7822,81.3787
32.0,-2.27376,80.4876
33.0,-2.3176,79.3507
34.0,-2.45686,78.1919
35.0,-2.55176,76.9635
36.0,-2.83282,75.6876
37.0,-3.17722,74.2712
38.0,-2.95431,72.6826
39.0,-3.27945,71.2054
40.0,-3.2524,69.5657
41.0,-3.73877,67.9395
42.0,-4.39668,66.0701
43.0,-4.21306,63.8718
44.0,-4.43151,61.7653
45.0,-4.8894,59.5495
46.0,-4.5541,57.1048
47.0,-4.80564,54.8278
48.0,-4.83525,52.4249
49.0,-4.64773,50.0073
50.0,-4.67605,47.6834
51.0,-4.69911,45.3454
52.0,-4.51832,42.9959
53.0,-4.88632,40.7367
54.0,-4.4471,38.2935
55.0,-4.32935,36.07
56.0,-4.25742,33.9053
57.0,-4.054,31.7766
58.0,-4.27938,29.7496
59.0,-4.45453,27.6099
60.0,-4.37965,25.3827
61.0,-4.07783,23.1928
62.0,-4.06238,21.1539
63.0,-4.26027,19.1227
64.0,-3.93602,16.9926
65.0,-4.29699,15.0246
66.0,-4.25955,12.8761
67.0,-4.14222,10.7463
