states: t,states: v,states: x
1.0,0.751458,90.7536
2.0,0.756578,91.1293
3.0,0.653233,91.5076
4.0,0.546592,91.8343
5.0,0.4271,92.1075
6.0,0.492798,92.3211
7.0,0.133009,92.5675
8.0,-0.0202489,92.634
9.0,-0.462623,92.6239
10.0,-0.922691,92.3926
11.0,-1.11808,91.9312
12.0,-1.07831,91.3722
13.0,-0.941384,90.833
14.0,-1.40455,90.3623
15.0,-1.36776,89.66
16.0,-1.75345,88.9762
17.0,-1.83766,88.0994
18.0,-1.73648,87.1806
19.0,-1.4034,86.3124
20.0,-1.6928,85.6107
21.0,-1.92727,84.7643
22.0,-1.99429,83.8006
23.0,-2.43667,82.8035
24.0,-2.42858,81.5852
25.0,-2.71385,80.3709
26.0,-2.98529,79.0139
27.0,-3.1449,77.5213
28.0,-3.21149,75.9489
29.0,-3.20382,74.3431
30.0,-3.35203,72.7412
31.0,-3.55608,71.0652
32.0,-3.50385,69.2872
33.0,-3.77905,67.5352
34.0,-3.84649,65.6457
35.0,-4.03053,63.7225
36.0,-4.08137,61.7072
37.0,-4.47953,59.6665
38.0,-4.56413,57.4267
39.0,-4.3664,55.1447
40.0,-4.20199,52.9615
41.0,-4.07411,50.8605
42.0,-4.03413,48.8234
43.0,-4.08029,46.8064
44.0,-4.3544,44.7662
45.0,-4.10217,42.589
46.0,-4.2141,40.5379
47.0,-4.11657,38.4309
48.0,-4.39539,36.3726
49.0,-4.27751,34.1749
50.0,-4.33248,32.0362
51.0,-4.4495,29.8699
52.0,-4.71303,27.6452
53.0,-4.61644,25.2887
54.0,-4.50904,22.9804
55.0,-4.28566,20.7259
56.0,-4.06833,18.5831
57.0,-3.68049,16.5489
58.0,-3.50188,14.7087
59.0,-3.09851,12.9577
60.0,-3.1421,11.4085
61.0,-2.98977,9.83743
62.0,-2.7233,8.34255
63.0,-2.7538,6.9809
64.0,-3.01005,5.604
65.0,-3.28108,4.09898
66.0,-3.03682,2.45844
67.0,-2.89558,0.940027
68.0,-2.61397,-0.507762
69.0,-2.14507,-1.81475
70.0,-2.02703,-2.88729
71.0,-1.66431,-3.9008
72.0,-1.51543,-4.73295
73.0,-1.1704,-5.49067
74.0,-0.859592,-6.07587
75.0,-0.595609,-6.50567
76.0,-0.751735,-6.80347
77.0,-1.05096,-7.17934
78.0,-1.06029,-7.70482
79.0,-1.00357,-8.23497
80.0,-0.741345,-8.73675
81.0,-0.51994,-9.10742
82.0,-0.162485,-9.36739
83.0,-0.0776166,-9.44864
84.0,0.0228151,-9.48744
85.0,0.483072,-9.47604
86.0,0.613615,-9.2345
87.0,0.619981,-8.92769
88.0,0.531452,-8.6177
89.0,0.566693,-8.35198
90.0,0.52206,-8.06863
91.0,0.985813,-7.8076
92.0,1.069,-7.31469
93.0,1.41523,-6.7802
94.0,1.57809,-6.07258
95.0,1.90622,-5.28354
96.0,1.89731,-4.33043
97.0,2.12142,-3.38177
98.0,2.34204,-2.32106
99.0,2.08092,-1.15004
100.0,2.16786,-0.109583
1.0,1.35547,83.0944
2.0,1.5354,83.7721
3.0,1.36707,84.5398
4.0,1.30231,85.2234
5.0,0.98571,85.8745
6.0,1.14331,86.3674
7.0,1.26424,86.939
8.0,1.22071,87.5712
9.0,1.08309,88.1815
10.0,1.02452,88.7231
11.0,0.720847,89.2353
12.0,0.575226,89.5958
13.0,0.410153,89.8834
14.0,0.0907974,90.0884
15.0,-0.535603,90.1339
16.0,-0.481843,89.8661
17.0,-0.433191,89.6251
18.0,-0.529403,89.4085
19.0,-0.570456,89.1438
20.0,-0.232004,88.8586
21.0,-0.240408,88.7426
22.0,-0.494833,88.6224
23.0,-0.308912,88.375
24.0,-0.419929,88.2205
25.0,-0.387247,88.0106
26.0,-0.690955,87.8169
27.0,-0.886888,87.4715
28.0,-0.878061,87.028
29.0,-0.58322,86.589
30.0,-1.26047,86.2974
31.0,-1.76046,85.6671
32.0,-2.07771,84.7869
33.0,-2.6709,83.7481
34.0,-2.94644,82.4126
35.0,-2.94056,80.9394
36.0,-3.0758,79.4691
37.0,-3.32161,77.9312
38.0,-3.51465,76.2704
39.0,-3.65675,74.5131
40.0,-3.39768,72.6847
41.0,-3.43703,70.9859
42.0,-3.29377,69.2673
43.0,-3.0595,67.6205
44.0,-2.80334,66.0907
45.0,-2.71159,64.689
46.0,-2.34496,63.3332
47.0,-2.06809,62.1608
48.0,-2.02268,61.1267
49.0,-1.73964,60.1154
50.0,-2.25436,59.2456
51.0,-1.54575,58.1184
52.0,-1.8522,57.3455
53.0,-1.98062,56.4194
54.0,-2.3397,55.4291
55.0,-2.30194,54.2592
56.0,-2.5423,53.1083
57.0,-2.53763,51.8371
58.0,-2.61141,50.5683
59.0,-2.56257,49.2626
60.0,-2.31183,47.9813
61.0,-2.35395,46.8254
62.0,-2.23388,45.6484
63.0,-2.39541,44.5315
64.0,-2.76008,43.3338
65.0,-2.91117,41.9538
66.0,-2.53064,40.4982
67.0,-2.62761,39.2328
68.0,-2.35063,37.919
69.0,-2.1788,36.7437
70.0,-2.02167,35.6543
71.0,-2.24219,34.6435
72.0,-1.92335,33.5224
73.0,-2.22494,32.5607
74.0,-2.23328,31.4483
75.0,-2.58999,30.3316
76.0,-2.7485,29.0366
77.0,-2.70712,27.6624
78.0,-2.38889,26.3088
79.0,-1.77767,25.1144
80.0,-1.59221,24.2255
81.0,-1.26788,23.4294
82.0,-0.547479,22.7955
83.0,-0.497812,22.5218
84.0,-0.526392,22.2728
85.0,-0.316633,22.0096
86.0,-0.749457,21.8513
87.0,-0.555694,21.4766
88.0,-0.433831,21.1988
89.0,-0.757829,20.9818
90.0,-0.200461,20.6029
91.0,-0.289283,20.5027
92.0,-0.165512,20.3581
93.0,-0.158475,20.2753
94.0,-0.0884923,20.1961
95.0,-0.0802968,20.1518
96.0,-0.264628,20.1117
97.0,-0.439923,19.9794
98.0,-0.544198,19.7594
99.0,-0.0386922,19.4873
100.0,-0.292215,19.4679
1.0,-2.53965,16.1813
2.0,-2.66033,14.9115
3.0,-2.46366,13.5814
4.0,-2.60857,12.3495
5.0,-2.39228,11.0452
6.0,-2.12546,9.8491
7.0,-2.36055,8.78637
8.0,-1.95298,7.6061
9.0,-1.57444,6.62961
10.0,-1.56362,5.84239
11.0,-1.16965,5.06058
12.0,-1.03202,4.47575
13.0,-0.979321,3.95975
14.0,-0.953087,3.47008
15.0,-0.875952,2.99354
16.0,-0.897247,2.55557
17.0,-0.205206,2.10694
18.0,0.275205,2.00434
19.0,0.882935,2.14194
20.0,0.793458,2.58341
21.0,0.727801,2.98014
22.0,0.853547,3.34404
23.0,0.96477,3.77081
24.0,0.86797,4.2532
25.0,0.960059,4.68718
26.0,1.23208,5.16721
27.0,1.53808,5.78325
28.0,1.77069,6.55229
29.0,2.09944,7.43763
30.0,2.22131,8.48735
31.0,2.0631,9.59801
32.0,1.92249,10.6296
33.0,1.77956,11.5908
34.0,1.95691,12.4806
35.0,2.18084,13.459
36.0,2.4801,14.5495
37.0,2.40034,15.7895
38.0,2.42331,16.9897
39.0,2.60585,18.2013
40.0,2.44842,19.5043
41.0,2.5423,20.7285
42.0,2.52761,21.9996
43.0,2.61273,23.2634
44.0,2.76109,24.5698
45.0,2.91644,25.9503
46.0,3.3329,27.4086
47.0,3.77661,29.075
48.0,3.94041,30.9633
49.0,3.56347,32.9335
50.0,3.66227,34.7153
51.0,3.79729,36.5464
52.0,3.83233,38.445
53.0,3.81676,40.3612
54.0,3.95862,42.2696
55.0,3.97821,44.2489
56.0,3.72216,46.238
57.0,3.68308,48.0991
58.0,3.56446,49.9406
59.0,3.52951,51.7228
60.0,3.64132,53.4876
61.0,3.63851,55.3083
62.0,3.87562,57.1275
63.0,3.94329,59.0653
64.0,4.30062,61.037
65.0,3.9625,63.1873
66.0,4.00821,65.1685
67.0,4.08034,67.1726
68.0,3.95487,69.2128
