states: t,states: v,states: x
1.0,-2.33652,52.1831
2.0,-2.81963,51.0149
3.0,-3.02241,49.605
4.0,-3.00259,48.0938
5.0,-2.95049,46.5925
6.0,-2.67542,45.1173
7.0,-2.71456,43.7796
8.0,-3.14875,42.4223
9.0,-3.3414,40.8479
10.0,-3.46906,39.1772
11.0,-3.35258,37.4427
12.0,-3.22975,35.7664
13.0,-3.27611,34.1515
14.0,-3.16208,32.5135
15.0,-2.83555,30.9324
16.0,-2.57756,29.5147
17.0,-2.74292,28.2259
18.0,-2.49831,26.8544
19.0,-2.57485,25.6053
20.0,-2.72361,24.3178
21.0,-2.38824,22.956
22.0,-2.22586,21.7619
23.0,-2.26657,20.649
24.0,-1.93108,19.5157
25.0,-1.79818,18.5502
26.0,-2.3044,17.6511
27.0,-1.96927,16.4989
28.0,-1.57153,15.5142
29.0,-1.7458,14.7285
30.0,-1.42745,13.8556
31.0,-1.87499,13.1419
32.0,-1.65582,12.2044
33.0,-1.24888,11.3765
34.0,-1.90554,10.752
35.0,-1.86726,9.79925
36.0,-2.36484,8.86562
37.0,-2.25214,7.6832
38.0,-2.50253,6.55713
39.0,-2.10051,5.30586
40.0,-2.12966,4.25561
41.0,-1.87036,3.19078
42.0,-2.02265,2.2556
43.0,-2.47365,1.24428
44.0,-2.58672,0.0074563
45.0,-2.84235,-1.28591
46.0,-2.91359,-2.70708
47.0,-2.86756,-4.16388
48.0,-2.85217,-5.59766
49.0,-2.32355,-7.02374
50.0,-1.87325,-8.18552
51.0,-2.03716,-9.12214
52.0,-1.9104,-10.1407
53.0,-1.71755,-11.0959
54.0,-1.91012,-11.9547
55.0,-1.7525,-12.9097
56.0,-1.79706,-13.786
57.0,-1.54938,-14.6845
58.0,-1.6318,-15.4592
59.0,-1.70674,-16.2751
60.0,-1.30589,-17.1285
61.0,-1.15676,-17.7814
62.0,-0.766618,-18.3598
63.0,-0.857162,-18.7431
64.0,-0.92699,-19.1717
65.0,-1.06773,-19.6352
66.0,-0.72735,-20.1691
67.0,-0.436567,-20.5327
68.0,-0.228428,-20.751
69.0,-0.362818,-20.8652
70.0,-0.602453,-21.0467
71.0,-0.966341,-21.3479
72.0,-1.01543,-21.831
73.0,-0.896946,-22.3388
74.0,-0.507548,-22.7872
75.0,-0.232887,-23.041
76.0,-0.287217,-23.1575
77.0,-0.230528,-23.3011
78.0,0.107809,-23.4163
79.0,0.00901565,-23.3624
80.0,-0.181749,-23.3579
81.0,0.324105,-23.4488
82.0,0.28117,-23.2867
83.0,0.393552,-23.1462
84.0,0.473164,-22.9494
85.0,0.79112,-22.7128
86.0,0.526933,-22.3172
87.0,0.934395,-22.0538
88.0,1.19579,-21.5866
89.0,1.31979,-20.9887
90.0,1.36986,-20.3288
91.0,1.88596,-19.6439
92.0,2.16422,-18.7009
93.0,2.54735,-17.6188
94.0,2.35712,-16.3451
95.0,2.54584,-15.1665
96.0,2.89051,-13.8936
97.0,2.6873,-12.4484
98.0,3.02518,-11.1047
99.0,3.05032,-9.59212
100.0,2.46397,-8.06697
1.0,0.301451,83.2612
2.0,0.293547,83.4119
3.0,0.201121,83.5587
4.0,0.08662,83.6592
5.0,-0.036253,83.7025
6.0,-0.222163,83.6844
7.0,-0.50309,83.5733
8.0,-0.537671,83.3218
9.0,-0.523999,83.0529
10.0,-0.935168,82.7909
11.0,-1.06016,82.3234
12.0,-1.0979,81.7933
13.0,-1.17869,81.2443
14.0,-1.1543,80.655
15.0,-0.759967,80.0778
16.0,-0.691467,79.6979
17.0,-0.64895,79.3521
18.0,-0.49935,79.0276
19.0,-0.740843,78.778
20.0,-1.19297,78.4075
21.0,-1.27225,77.8111
22.0,-1.5848,77.1749
23.0,-2.11551,76.3825
24.0,-2.04243,75.3248
25.0,-1.78399,74.3036
26.0,-2.13129,73.4116
27.0,-1.92808,72.3459
28.0,-1.95335,71.3819
29.0,-1.75576,70.4052
30.0,-1.79086,69.5273
31.0,-2.02716,68.6319
32.0,-2.1967,67.6183
33.0,-2.1609,66.52
34.0,-2.35649,65.4395
35.0,-2.34548,64.2613
36.0,-2.15922,63.0885
37.0,-2.35435,62.0089
