action: u,states: t,states: v,states: x
0.259506,0.0,0.846312,-81.2466
0.282322,1.0,0.875187,-80.8234
0.216908,2.0,1.11003,-80.3858
0.288974,3.0,1.00587,-79.8308
0.123917,4.0,0.752367,-79.3279
0.0409554,5.0,1.15185,-78.9517
0.209226,6.0,1.26879,-78.3757
0.16359,7.0,1.35386,-77.7413
0.16209,8.0,1.5137,-77.0644
0.173153,9.0,1.54217,-76.3076
0.18714,10.0,1.73504,-75.5365
0.188973,11.0,1.68184,-74.669
0.140745,12.0,1.55064,-73.8281
0.231238,13.0,1.89738,-73.0527
0.0486208,14.0,2.08841,-72.104
0.31093,15.0,1.68147,-71.0598
0.257791,16.0,1.61083,-70.2191
0.294685,17.0,1.70872,-69.4137
0.274297,18.0,1.60426,-68.5593
0.188704,19.0,1.92368,-67.7572
0.224717,20.0,2.01405,-66.7954
0.217884,21.0,2.22224,-65.7883
0.120802,22.0,2.41131,-64.6772
0.071523,23.0,2.57756,-63.4716
0.188084,24.0,2.35674,-62.1828
0.228176,25.0,2.37749,-61.0044
0.162576,26.0,2.49617,-59.8157
0.239782,27.0,2.42864,-58.5676
0.0778291,28.0,2.46496,-57.3533
0.152738,29.0,2.70716,-56.1208
0.207794,30.0,2.63907,-54.7672
0.21258,31.0,2.50052,-53.4477
0.134828,32.0,2.71873,-52.1974
0.176194,33.0,2.67891,-50.838
0.0366309,34.0,2.75416,-49.4986
0.0497423,35.0,2.86301,-48.1215
0.0777571,36.0,2.70678,-46.69
0.0888673,37.0,2.67462,-45.3366
0.0531394,38.0,3.0159,-43.9993
0.0491337,39.0,3.17542,-42.4914
-0.0238293,40.0,3.45763,-40.9036
0.075726,41.0,3.54818,-39.1748
0.121151,42.0,3.32439,-37.4007
-0.0528209,43.0,3.58832,-35.7385
0.0390719,44.0,3.92202,-33.9444
-0.191847,45.0,4.30427,-31.9834
-0.0811883,46.0,4.14055,-29.8312
-0.0897948,47.0,3.93838,-27.761
-0.0405708,48.0,3.67696,-25.7918
-0.027814,49.0,3.62496,-23.9533
-0.108702,50.0,3.49002,-22.1408
0.0387667,51.0,3.57525,-20.3958
-0.0783103,52.0,3.9164,-18.6082
