action: u,states: t,states: v,states: x
0.0725422,0.0,-1.98585,53.176
0.0862318,1.0,-2.33652,52.1831
0.0380644,2.0,-2.81963,51.0149
0.14885,3.0,-3.02241,49.605
-0.0129015,4.0,-3.00259,48.0938
0.101126,5.0,-2.95049,46.5925
-0.00935936,6.0,-2.67542,45.1173
0.0289053,7.0,-2.71456,43.7796
0.0445174,8.0,-3.14875,42.4223
0.110917,9.0,-3.3414,40.8479
0.193106,10.0,-3.46906,39.1772
0.0812141,11.0,-3.35258,37.4427
0.160898,12.0,-3.22975,35.7664
-0.0430747,13.0,-3.27611,34.1515
-0.0454316,14.0,-3.16208,32.5135
0.0461152,15.0,-2.83555,30.9324
0.000795007,16.0,-2.57756,29.5147
0.116373,17.0,-2.74292,28.2259
0.084265,18.0,-2.49831,26.8544
0.14735,19.0,-2.57485,25.6053
0.0820935,20.0,-2.72361,24.3178
0.0283211,21.0,-2.38824,22.956
0.0181853,22.0,-2.22586,21.7619
0.0859723,23.0,-2.26657,20.649
0.1185,24.0,-1.93108,19.5157
0.174603,25.0,-1.79818,18.5502
0.139954,26.0,-2.3044,17.6511
0.0916766,27.0,-1.96927,16.4989
0.132694,28.0,-1.57153,15.5142
-0.0253092,29.0,-1.7458,14.7285
0.10173,30.0,-1.42745,13.8556
0.0243024,31.0,-1.87499,13.1419
0.0495008,32.0,-1.65582,12.2044
-0.0547288,33.0,-1.24888,11.3765
0.149315,34.0,-1.90554,10.752
0.173958,35.0,-1.86726,9.79925
0.0268035,36.0,-2.36484,8.86562
0.194383,37.0,-2.25214,7.6832
0.118172,38.0,-2.50253,6.55713
0.147458,39.0,-2.10051,5.30586
0.108338,40.0,-2.12966,4.25561
0.215031,41.0,-1.87036,3.19078
0.241941,42.0,-2.02265,2.2556
0.18891,43.0,-2.47365,1.24428
0.0828404,44.0,-2.58672,0.0074563
-0.0330688,45.0,-2.84235,-1.28591
0.278639,46.0,-2.91359,-2.70708
0.225387,47.0,-2.86756,-4.16388
0.266296,48.0,-2.85217,-5.59766
0.0591499,49.0,-2.32355,-7.02374
0.241047,50.0,-1.87325,-8.18552
0.293962,51.0,-2.03716,-9.12214
0.235201,52.0,-1.9104,-10.1407
0.224442,53.0,-1.71755,-11.0959
0.206628,54.0,-1.91012,-11.9547
0.231604,55.0,-1.7525,-12.9097
0.213932,56.0,-1.79706,-13.786
0.166322,57.0,-1.54938,-14.6845
0.313424,58.0,-1.6318,-15.4592
0.283543,59.0,-1.70674,-16.2751
0.318565,60.0,-1.30589,-17.1285
0.395078,61.0,-1.15676,-17.7814
0.32301,62.0,-0.766618,-18.3598
0.201355,63.0,-0.857162,-18.7431
0.287056,64.0,-0.92699,-19.1717
0.289986,65.0,-1.06773,-19.6352
0.236267,66.0,-0.72735,-20.1691
0.354416,67.0,-0.436567,-20.5327
0.152943,68.0,-0.228428,-20.751
0.315157,69.0,-0.362818,-20.8652
0.374296,70.0,-0.602453,-21.0467
0.190343,71.0,-0.966341,-21.3479
0.347082,72.0,-1.01543,-21.831
0.525764,73.0,-0.896946,-22.3388
0.425092,74.0,-0.507548,-22.7872
0.315609,75.0,-0.232887,-23.041
0.407027,76.0,-0.287217,-23.1575
0.477232,77.0,-0.230528,-23.3011
0.402504,78.0,0.107809,-23.4163
0.257088,79.0,0.00901565,-23.3624
0.31935,80.0,-0.181749,-23.3579
0.475741,81.0,0.324105,-23.4488
0.492888,82.0,0.28117,-23.2867
0.533674,83.0,0.393552,-23.1462
0.610009,84.0,0.473164,-22.9494
0.433868,85.0,0.79112,-22.7128
0.587359,86.0,0.526933,-22.3172
0.548256,87.0,0.934395,-22.0538
0.435631,88.0,1.19579,-21.5866
0.370905,89.0,1.31979,-20.9887
0.482897,90.0,1.36986,-20.3288
0.438543,91.0,1.88596,-19.6439
0.583992,92.0,2.16422,-18.7009
0.434446,93.0,2.54735,-17.6188
0.388176,94.0,2.35712,-16.3451
0.44518,95.0,2.54584,-15.1665
0.0621501,96.0,2.89051,-13.8936
0.564612,97.0,2.6873,-12.4484
0.0113006,98.0,3.02518,-11.1047
0.0124178,99.0,3.05032,-9.59212
-0.214612,0.0,0.630622,82.9458
-0.206553,1.0,0.301451,83.2612
-0.134391,2.0,0.293547,83.4119
-0.284578,3.0,0.201121,83.5587
-0.269913,4.0,0.08662,83.6592
-0.181608,5.0,-0.036253,83.7025
-0.106252,6.0,-0.222163,83.6844
-0.174647,7.0,-0.50309,83.5733
-0.197781,8.0,-0.537671,83.3218
-0.233967,9.0,-0.523999,83.0529
-0.163193,10.0,-0.935168,82.7909
-0.141078,11.0,-1.06016,82.3234
-0.213723,12.0,-1.0979,81.7933
-0.235492,13.0,-1.17869,81.2443
-0.102334,14.0,-1.1543,80.655
-0.157632,15.0,-0.759967,80.0778
-0.309957,16.0,-0.691467,79.6979
