states: t,states: v,states: x
1.0,0.875187,-80.8234
2.0,1.11003,-80.3858
3.0,1.00587,-79.8308
4.0,0.752367,-79.3279
5.0,1.15185,-78.9517
6.0,1.26879,-78.3757
7.0,1.35386,-77.7413
8.0,1.5137,-77.0644
9.0,1.54217,-76.3076
10.0,1.73504,-75.5365
11.0,1.68184,-74.669
12.0,1.55064,-73.8281
13.0,1.89738,-73.0527
14.0,2.08841,-72.104
15.0,1.68147,-71.0598
16.0,1.61083,-70.2191
17.0,1.70872,-69.4137
18.0,1.60426,-68.5593
19.0,1.92368,-67.7572
20.0,2.01405,-66.7954
21.0,2.22224,-65.7883
22.0,2.41131,-64.6772
23.0,2.57756,-63.4716
24.0,2.35674,-62.1828
25.0,2.37749,-61.0044
26.0,2.49617,-59.8157
27.0,2.42864,-58.5676
28.0,2.46496,-57.3533
29.0,2.70716,-56.1208
30.0,2.63907,-54.7672
31.0,2.50052,-53.4477
32.0,2.71873,-52.1974
33.0,2.67891,-50.838
34.0,2.75416,-49.4986
35.0,2.86301,-48.1215
36.0,2.70678,-46.69
37.0,2.67462,-45.3366
38.0,3.0159,-43.9993
39.0,3.17542,-42.4914
40.0,3.45763,-40.9036
41.0,3.54818,-39.1748
42.0,3.32439,-37.4007
43.0,3.58832,-35.7385
44.0,3.92202,-33.9444
45.0,4.30427,-31.9834
46.0,4.14055,-29.8312
47.0,3.93838,-27.761
48.0,3.67696,-25.7918
49.0,3.62496,-23.9533
50.0,3.49002,-22.1408
51.0,3.57525,-20.3958
52.0,3.9164,-18.6082
53.0,3.62417,-16.65
54.0,3.21706,-14.8379
55.0,2.65779,-13.2294
56.0,2.57107,-11.9005
57.0,2.25555,-10.6149
58.0,2.39357,-9.48716
59.0,2.40648,-8.29038
60.0,2.55355,-7.08714
61.0,2.24566,-5.81036
62.0,2.38859,-4.68753
63.0,2.55254,-3.49324
64.0,2.55204,-2.21697
65.0,2.70418,-0.940951
66.0,2.60028,0.411137
67.0,2.17446,1.71128
68.0,1.71879,2.7985
69.0,1.44186,3.6579
70.0,1.47251,4.37883
71.0,1.66754,5.11508
72.0,1.69807,5.94886
73.0,1.8389,6.79789
74.0,1.9564,7.71734
75.0,1.84777,8.69554
76.0,1.71268,9.61943
77.0,1.41412,10.4758
78.0,1.75539,11.1828
79.0,1.77405,12.0605
80.0,1.57126,12.9476
81.0,1.23011,13.7332
82.0,1.56588,14.3482
83.0,1.39352,15.1312
84.0,1.56463,15.8279
85.0,1.25966,16.6102
86.0,0.820021,17.2401
87.0,1.0744,17.6501
88.0,0.560402,18.1873
89.0,0.777923,18.4675
90.0,0.817128,18.8564
91.0,0.838398,19.265
92.0,0.49645,19.6842
93.0,0.240105,19.9324
94.0,0.353034,20.0525
95.0,0.315796,20.229
96.0,0.395317,20.3869
97.0,0.076906,20.5846
98.0,-0.29166,20.623
99.0,-0.51194,20.4772
100.0,-0.432345,20.2212
1.0,0.831609,328.46
2.0,0.863275,328.876
3.0,0.35094,329.307
4.0,0.0410391,329.483
5.0,0.140729,329.503
6.0,-0.0542208,329.574
7.0,0.0162226,329.547
8.0,-0.0568744,329.555
9.0,-0.483326,329.526
10.0,-0.631371,329.285
11.0,-1.08104,328.969
12.0,-1.53184,328.428
13.0,-1.8559,327.663
14.0,-2.11941,326.735
15.0,-2.43638,325.675
16.0,-2.76108,324.457
17.0,-2.85173,323.076
18.0,-3.37932,321.65
19.0,-3.48679,319.961
20.0,-3.7835,318.217
21.0,-3.97944,316.325
22.0,-4.14624,314.336
23.0,-4.56558,312.263
24.0,-4.71655,309.98
25.0,-4.81655,307.622
26.0,-5.01199,305.213
27.0,-5.21562,302.707
28.0,-5.55573,300.1
29.0,-5.05907,297.322
30.0,-5.42328,294.792
31.0,-5.61637,292.08
32.0,-5.84183,289.272
33.0,-6.36127,286.351
34.0,-6.38763,283.171
35.0,-6.61563,279.977
36.0,-6.97386,276.669
37.0,-7.15597,273.182
38.0,-7.38676,269.604
39.0,-7.63707,265.911
40.0,-7.67599,262.092
41.0,-7.79602,258.254
42.0,-8.384,254.356
43.0,-8.25003,250.164
44.0,-8.25703,246.039
45.0,-8.46644,241.911
46.0,-9.27371,237.678
47.0,-9.7229,233.041
48.0,-9.58404,228.179
49.0,-10.0376,223.387
50.0,-10.6718,218.368
51.0,-10.6684,213.032
52.0,-11.4727,207.698
53.0,-11.7224,201.962
54.0,-11.9325,196.101
55.0,-11.9797,190.135
56.0,-12.043,184.145
57.0,-12.0285,178.123
58.0,-11.8535,172.109
59.0,-12.1343,166.182
60.0,-12.0408,160.115
61.0,-11.9856,154.095
62.0,-12.1486,148.102
63.0,-11.831,142.027
64.0,-11.87,136.112
65.0,-11.89,130.177
66.0,-11.3603,124.232
67.0,-11.1309,118.552
68.0,-10.7647,112.986
69.0,-10.7822,107.604
70.0,-10.5766,102.213
71.0,-10.5415,96.9247
72.0,-10.3492,91.654
73.0,-10.2544,86.4794
74.0,-9.87928,81.3522
75.0,-9.59842,76.4125
76.0,-9.4969,71.6133
77.0,-9.26117,66.8649
78.0,-9.10384,62.2343
79.0,-8.67392,57.6824
80.0,-8.53761,53.3454
81.0,-8.52812,49.0766
82.0,-8.38739,44.8125
83.0,-7.99042,40.6189
84.0,-7.57968,36.6236
85.0,-7.20017,32.8338
86.0,-7.03664,29.2337
