states: t,states: v,states: x
18.0,-0.458254,51.2827
19.0,-0.683287,51.0536
20.0,-0.716853,50.712
21.0,-0.609074,50.3535
22.0,-0.176787,50.049
23.0,-0.178219,49.9606
24.0,-0.396353,49.8715
25.0,-0.793836,49.6733
26.0,-1.01559,49.2764
27.0,-1.06,48.7686
28.0,-1.08805,48.2386
29.0,-1.23722,47.6946
30.0,-1.24121,47.076
31.0,-1.1955,46.4553
32.0,-1.67126,45.8576
33.0,-1.75077,45.022
34.0,-1.85038,44.1466
35.0,-1.4245,43.2214
36.0,-1.3476,42.5091
37.0,-1.52073,41.8353
38.0,-1.29241,41.075
39.0,-1.13666,40.4288
40.0,-1.21451,39.8604
41.0,-1.47709,39.2532
42.0,-1.46481,38.5146
43.0,-1.61349,37.7822
44.0,-1.75229,36.9755
45.0,-1.36048,36.0993
46.0,-1.45074,35.4191
47.0,-1.79325,34.6937
48.0,-1.57248,33.7971
49.0,-1.80897,33.0109
50.0,-2.05507,32.1064
51.0,-2.17794,31.0789
52.0,-2.41844,29.9899
53.0,-2.57233,28.7807
54.0,-2.56008,27.4945
55.0,-2.70706,26.2145
56.0,-3.12798,24.8609
57.0,-3.08031,23.2969
58.0,-3.05151,21.7568
59.0,-3.454,20.231
60.0,-3.58495,18.504
61.0,-3.6187,16.7116
62.0,-3.41565,14.9022
63.0,-3.19623,13.1944
64.0,-3.22835,11.5963
65.0,-2.92471,9.98209
66.0,-2.27654,8.51974
67.0,-2.20258,7.38146
68.0,-2.79115,6.28017
69.0,-2.62363,4.8846
70.0,-2.31807,3.57279
71.0,-2.2295,2.41375
72.0,-2.19126,1.299
73.0,-2.20925,0.203366
74.0,-2.0211,-0.901261
75.0,-1.92258,-1.91181
76.0,-2.1411,-2.8731
77.0,-2.05746,-3.94365
78.0,-1.84833,-4.97238
79.0,-1.47244,-5.89654
80.0,-1.65206,-6.63277
81.0,-1.31551,-7.4588
82.0,-1.21404,-8.11655
83.0,-1.18902,-8.72357
84.0,-1.02916,-9.31808
85.0,-1.38534,-9.83266
86.0,-1.2752,-10.5253
87.0,-0.901755,-11.1629
88.0,-0.626169,-11.6138
89.0,-0.447359,-11.9269
90.0,-0.178524,-12.1506
91.0,0.032104,-12.2398
92.0,-0.144663,-12.2238
93.0,0.231139,-12.2961
94.0,0.579355,-12.1805
95.0,0.697278,-11.8909
96.0,0.397465,-11.5422
97.0,0.464585,-11.3435
98.0,0.4195,-11.1112
99.0,0.281215,-10.9015
100.0,0.489697,-10.7608
1.0,-0.754325,173.957
2.0,-0.93372,173.58
3.0,-1.25003,173.113
4.0,-1.71596,172.488
5.0,-1.98953,171.63
6.0,-2.00429,170.636
7.0,-1.86065,169.634
8.0,-2.1796,168.703
9.0,-2.42813,167.613
10.0,-2.78048,166.399
11.0,-2.76146,165.009
12.0,-2.8409,163.628
13.0,-3.41608,162.208
14.0,-3.47268,160.5
15.0,-3.47171,158.764
16.0,-3.43711,157.028
17.0,-3.54759,155.309
18.0,-3.73039,153.535
19.0,-4.29239,151.67
20.0,-4.25152,149.524
21.0,-4.19113,147.398
22.0,-4.30922,145.303
23.0,-4.18192,143.148
24.0,-4.47551,141.057
25.0,-4.47287,138.819
26.0,-4.44064,136.583
